CompanyLocationID,CompanyID,CompanyName,CompanyDescription,CompanyLocationDescription,secuirtycheckpoint,Hours,CompanyURL,AirlineCode,Terminal,Location,Categories,urlLogoImage,urlFrontImage,urlMenuDoc,AirportName,LocationPhone,CompanyLocationLastUpdated,CompanyLastUpdated,AddressLastUpdated,Lat,Long,Address,City,Zip,ProcessDate
376,240,First Aid Station,Located in Tom Bradley International Terminal., ,,,,,TBIT,Departure Level,MEDICAL FACILITIES/MUNICIPAL AGENCIES,,,,LAX,(310) 215-6000,,,,,,,,,2019-04-11T00:00:02.000
1864,1300,Qatar Airways,,,0,,,,TBIT,Departure Level,AIR CARRIER,,,,LAX,(877) 777-2827,2017-05-08 14:27:48.673000000,2017-05-08 14:27:58.543000000,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1745,1181,Etihad Airways,,,0,,www.etihad.com,,TBIT,Departure Level,AIR CARRIER,,,,LAX,(877) 690-0767,,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1802,1238,Hudson News,,"Hudson News features a wide array of last minute items for travelers.
",1,,,,Terminal 7,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-216-5832,2018-08-17 09:19:38.763000000,,,33.941478,-118.399806,700 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1701,1137,Fred Segal,,"The ivy-covered façade alerts you that you are about to enter the airport outpost of Fred Segal’s high end department store, one of the top LA haunts of A-list celebrities shopping for anything from high fashion to funky retro duds, kids wear to home good",1,,,,TBIT,Great Hall,GIFT SHOPS AND NEWS STANDS,,,,LAX,424-750-9271,2018-02-02 07:22:03.317000000,,,33.94331523,-118.41036513,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1612,1052,Hudson News ,,Hudson News features a wide array of last minute items for travelers.,1,,,,Terminal 4,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-670-0474,2018-02-05 08:56:34.993000000,,,33.940558,-118.406908,400 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1854,1290,Brookstone,,"Featuring electronics, toys, travel accessories and more, there's something for everyone in Brookstone's eclectic shop.",1,,,,Terminal 1,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-641-1033,2018-02-05 06:42:24.343000000,,,33.946843038080694,-118.4011666760922,100 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1049,79,Argenbright ,Security Screening Services provided at LAX., ,,,,,Terminal 6/7 ,Ticketing Level,CONTRACT SECURITY SERVICES,,,,LAX,(310) 342-9573,,,,,,Between Terminals 6 & 7,Los Angeles,90045,2019-04-11T00:00:02.000
1728,1164,Hermes Boutique - Duty Free,,"Hermes is a designer brand of distinction; you can shop for a purse, jewelry, women's apparel, or fragrances.",1,,,,TBIT,Great Hall,DUTY FREE SHOPS,,,,LAX,310-348-3773,2018-02-02 11:39:33.457000000,,,33.943349,-118.410232,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1960,1394,MAC Cosmetics,,,1,,,,Terminal 1,,GIFT SHOPS AND NEWS STANDS,,,,LAX,650-457-1015,2018-10-17 13:50:01.340000000,2018-10-17 11:48:49.967000000,,,,,,,2019-04-11T00:00:02.000
1909,1345,Reilly's Irish Pub,,"Based on the West Hollywood original, this cozy pub serves up comfort food like grilled cheese, corned beef sliders, and nachos, as well as a wide selection of sandwiches, burgers, and street tacos in fun flavors. Beer lovers can try a flight to sample se",1,,,,Terminal 1,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-08 15:31:56.623000000,2017-04-17 15:03:22.040000000,,33.947337509405685,-118.40123594810654,,,,2019-04-11T00:00:02.000
1857,1293,Osteria by Fabio Viviani,,"Osteria by Fabio Viviani, serves up Italian appetizers, paninis, and pasta dishes.
",1,,,,Terminal 6,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,424-227-9897,2018-02-05 13:37:22.730000000,,,33.94119456,-118.40180612,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1890,1326,Earthbar,,"Earthbar offers healthy snacks, smoothies, and grab & go food options.
",1,,,,Terminal 6,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-433-6459,2018-02-05 13:39:14.727000000,,,33.941261501252896,-118.40208277045076,,,,2019-04-11T00:00:02.000
1828,1264,Pick Up Stix,,Pick Up Stix features a range of Asian comfort food.,1,,,,Terminal 2,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-301-9008,2018-02-05 06:53:42,,,33.94617994,-118.40416421,200 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1680,1116,Panda Express,,"Since 1983, Panda Express has pioneered the quick-service Chinese food market and quickly became the quick serve Asian cuisine of choice for consumers and developers. Nearly 30 years and 1,500 stores later, Panda Express continues to provide quality Chine",1,,,,TBIT,Great Hall - Food Court,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-307-7534,2018-02-02 06:14:03.327000000,,,33.94380474,-118.41034168,380 World Way,Los Angeles,90047,2019-04-11T00:00:02.000
1963,1397,L.A. Original,,,1,,,,TBIT,,GIFT SHOPS AND NEWS STANDS,,,,LAX,424-200-0009,2019-01-29 12:33:39.513000000,2019-01-30 14:10:30.070000000,,,,,,,2019-04-11T00:00:02.000
1911,1347,Austrian Airlines,,passengers will check in at Terminal B where flights depart; arrivals at Terminal 6,0,,www.austrian.com,,TBIT,Departure Level,AIR CARRIER,,,,LAX,(800) 843-0002,2017-07-10 14:16:43.350000000,2017-07-10 14:16:36.240000000,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1844,1280,Los Angeles Magazine News,,Shop for last minute snacks and souvenirs at Los Angeles Magazine News.,1,,,,Terminal 6,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-321-8834,2018-02-05 13:33:28.927000000,,,33.94070403,-118.40198959,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1633,1069,Skewers by Morimoto,,"Chef Morimoto's airport restaurant dishes out various deep fried, Japanese kebabs and other menu items.",1,,,,Terminal 5,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,716-515-0813,2018-02-05 09:57:25.390000000,,,33.940528,-118.404224,,,,2019-04-11T00:00:02.000
1820,1256,7-Eleven,,"Shop for snacks, essentials, and more at 7 Eleven.",0,,,,TBIT,Arrival Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,(310) 642-0751,2019-03-13 10:33:12.543000000,,,33.94367590849924,-118.40845377256562,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1880,1316,Wpizza by Wolfgang Puck,,"WPizza by Wolfgang Puck, features neapolitan pizza.
",1,,,,Terminal 6,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-307-7526,2018-02-05 13:46:45.450000000,,,33.94162784,-118.40216843,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1815,1251,LA Times Newsstand,,"For travelers in a hurry, LA Times Newsstand offers salads, sandwiches, parfaits and more, plus a variety of beverages.",1,,,,Terminal 5,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,866-820-1178,2018-02-05 09:55:52.710000000,,,33.940444,-118.404364,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1755,1191,The Counter Custom Built Burgers,,"The Counter is a burger joint for the 21st century, also serving additional menu items including sweet potato fries, parfaits and beverages.
",1,,,,Terminal 7,Departure Level - Food Court,FOOD AND BEVERAGE FACILITIES,,,,LAX,(310) 227-4423,2018-02-05 14:07:08.460000000,,,33.941398,-118.399436,700 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1869,1305,Southwest Int'l,,International passengers check in at Terminal 1; will be bused to Terminal B where international flights depart/arrive,0,,www.southwest.com,,TBIT,Departure Level,AIR CARRIER,,,,LAX,(800) 435-9792,2017-07-10 14:18:12.883000000,2017-07-10 14:18:01.140000000,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
808,541,Travelers Info-VIP,, ,,,www.lawa.org/vip,,Terminal 5,Arrival Level,TRAVELERS ASSISTANCE,,,,LAX,(310) 646-2275,,,,,,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1060,559,United Express,"All United Express Passengers with E-Tickets, check-in at Terminal 7.", ,0,,www.united.com,,Terminal 7,,AIR CARRIER,,,,LAX,,2017-08-29 08:12:51.040000000,2017-08-29 08:12:43.983000000,,,,700 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1812,1248,In Motion,,InMotion Entertainment offers the latest electronics and mobile accessories.,1,,,,Terminal 2,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,213-703-7180,2018-02-05 06:57:04.633000000,,,33.946153058679584,-118.40388163722139,200 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1716,1152,8 oz. Burger Bar,,"The 8 oz. Burger Bar offers grass fed burgers, sandwiches, and breakfast.",1,,,,Terminal 4,Departure Level - Food Court,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-646-3472,2019-03-13 16:16:31.583000000,,,33.940516487812054,-118.40657834435853,400 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1608,1050,DFS Duty Free,,DFS Duty Free offers a variety of products for travelers. Domestic passengers are invited to purchase everything but liquor and tobacco.,1,,,,Terminal 4,Departure Level,DUTY FREE SHOPS,,,,LAX,(310) 216-7134,2018-02-05 09:33:44.940000000,,,33.941943,-118.406866,400 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1548,1007,Allegiant Air,,,0,,www.allegiantair.com,,Terminal 5,T-5,AIR CARRIER,,,,LAX,(702) 505-8888,2017-05-13 01:36:04.830000000,2017-05-13 01:36:13.863000000,,,,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1041,548,"U.S. Dept. of Agriculture, Dept. of Plant Protection",, ,,,,,Terminal 5,Arrival Level,"GOVERNMENT AGENCIES, AGRICULTURE",,,,LAX,(310) 646-4397,,,,,,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
804,541,Travelers Info-VIP,, ,0,,www.lawa.org/vip,,Terminal 1,Arrival Level,TRAVELERS ASSISTANCE,,,,LAX,(310) 646-2271,,,,,,100 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1819,1255,Hudson,,"The next generation travel essentials store. We are The Traveler’s Best Friend. Hudson’s brightly lit sections – Media, Marketplace, Essentials and Destination – meet customer demand for all the traveler’s essentials: reading materials, snacks, beverages,",0,,,,TBIT,Ticketing Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-645-0289,2018-02-02 08:06:18.337000000,,,33.94296945,-118.40928878,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1579,1036,Iberia Airlines,,,0,,www.iberia.com,,TBIT,,AIR CARRIER,,,,LAX,(800) 772-4642,,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1729,1165,Gucci Boutique - Duty Free,,"Gucci is an Italian brand famous for high fashion women's apparel and accessories, such handbags, jewelry and more.",1,,,,TBIT,Great Hall,DUTY FREE SHOPS,,,,LAX,(310) 348-2691,2018-02-02 11:42:50.157000000,,,33.943468,-118.410291,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1621,1058,I Love LA,,"I Love LA offers airport shoppers a wide variety of items such as souvenirs, beverages, magazines, and more at reasonable prices.",1,,,,Terminal 5,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,(310) 645-3753,2018-02-05 06:41:17.707000000,,,33.941476,-118.404588,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1959,1393,beaming,,,1,,,,Terminal 1,,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-310-5602,2018-10-17 13:50:30.157000000,2018-10-17 07:20:52.580000000,,,,,,,2019-04-11T00:00:02.000
1866,1302,Deli & Co.,Grab and go unit at Gate 9.,Grab a sandwich togo from Deli & Co.,1,,,,Terminal 1,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-05 06:35:33.987000000,,,33.94601471897333,-118.40067938973595,100 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1906,1342,The Coffee Bean and Tea Leaf,,"The Coffee Bean & Tea Leaf has an assortment of specialty coffee and blended coffee drinks, as well as tea and baked goods.",1,,,,Terminal 1,,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-05 06:44:21.240000000,2016-12-07 14:36:48.573000000,,33.946943678238576,-118.40116084625413,100 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1522,993,Emirates,,,0,,www.emirates.com,,TBIT,Departure Level-  TBIT,AIR CARRIER,,,,LAX,(800) 777-3999,,,,,,,,,2019-04-11T00:00:02.000
1941,1377,CNBC,,,1,,,,TBIT,,GIFT SHOPS AND NEWS STANDS,,,,LAX,714-328-0456,2018-04-11 08:08:45.720000000,2018-04-11 07:57:18.053000000,,,,,,,2019-04-11T00:00:02.000
1832,1268,Hollywood Reporter,,"The Hollywood Reporter is a widely trusted resource for breaking entertainment news, movie and TV reviews, movie trailers, TV clips and analysis.  As the entertainment industry's flagship media brand, the Hollywood Reporter brings in-depth reporting, anal",0,,,,Terminal 5,Arrival Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-417-2844,2018-02-02 07:28:44.400000000,,,33.94257358751758,-118.40474159528901,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1631,1067,Sammy's Woodfired Pizza,,Sammy's Woodfired Pizza features a restaurant/bar offering east coast style pizza.,1,,,,Terminal 4,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-05 09:31:46.660000000,,,33.941312,-118.406737,400 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1859,1295,M.Fredric,,"Shop for a selection of women's apparel and more at M. Frederic.
",1,,,,Terminal 6,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-646-1770,2018-02-05 13:36:15.330000000,2017-03-23 12:47:10.470000000,,33.94106053,-118.40193279,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
840,556,U.S. Public Health Service,"For public inquiries, call the Centers for Disease Control and Prevention (CDC) Hotline:
(888) 246-2675", ,,,www.cdc.gov/,,TBIT,Division of Quarantine,GOVERNMENT AGENCIES,,,,LAX,(310) 215-2427,,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1686,1122,Starbucks Evenings,,"Starbucks Evenings has all of the wonderful coffee drinks they're known for plus appetizers, beer and wine.",1,,,,TBIT,South Concourse,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-307-7535,2018-02-02 10:43:46.933000000,,,33.940304,-118.409946,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1521,992,Qantas,,,0,,www.qantas.com,,TBIT,,AIR CARRIER,,,,LAX,(800) 227-4500,,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1839,1275,The Habit Burger Grill,,"The Habit serves up a variety of charbroiled burgers, fresh salads, and tasty sides.",1,,,,Terminal 6,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-433-6459,2018-02-05 13:34:37.923000000,,,33.940912,-118.401894,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1641,1077,Entertainment Weekly Newsstand,,Entertainment Weekly Newsstand offers reading material along with snacks and beverages.,1,,,,Terminal 4,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,(310) 568-8286,2018-02-05 09:32:27.740000000,,,33.941777,-118.407066,400 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
823,548,"U.S. Dept. of Agriculture, Dept. of Plant Protection",, ,,,,,Terminal 6,Arrival Level,"GOVERNMENT AGENCIES, AGRICULTURE",,,,LAX,(310) 348-7512,,,,,,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1932,1368,The Parlor,,"An iconic LA gastro-pub, The Parlor is a classic ode to the “good ole days” with well-crafted cocktails and a warm, nostalgic dining experience.",1,,,,Terminal 3,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-08 15:39:40.117000000,2017-11-27 10:49:25.797000000,,,,,,,2019-04-11T00:00:02.000
1888,1324,Los Angeles America!,," This regional specialty store houses a curated array of charming souvenirs, gifts, apparel and accessories associated with local pride, pop culture, and current events.",1,,,,TBIT,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,424-750-9595,2018-02-08 12:33:18.793000000,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1638,1074,Corona Bar,,American comfort food with a Mexican touch and a great bar and lounge area to relax.,1,,,,Terminal 8,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-02 05:50:54.813000000,,,33.941301,-118.397109,800 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1089,660,Bravo Aviation,Heliport facilities, ,,,www.bravoair.com,,Terminal 4,,AIRCRAFT CHARTERS,,,,LAX,(310) 337-6701,,,,,,,,,2019-04-11T00:00:02.000
1816,1252,ICE Currency Exchange Kiosk,,,0,,,,TBIT,Ticketing Level,"BUSINESS SERVICES, CURRENCY EXCHANGE",,,,LAX,(310) 646-1950,2017-08-01 08:59:43.843000000,,,33.94374858,-118.40854606,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1691,1127,Rock & Brews Concert Bar & Grill,,Rock & Brews serves up a variety of bar bites.,1,,,,Terminal 5,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-05 06:38:42.210000000,,,33.94106829768135,-118.4045224576721,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1943,1379,Dunkin' Donuts,,,0,,,,Terminal 7,Arrival Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-05-29 15:18:35.567000000,2018-05-29 15:17:34.907000000,,,,,,,2019-04-11T00:00:02.000
1654,1090,E! News,,"Faithful fans of the E! network know that this is the place for the latest breaking updates on their favorite Hollywood stars and the day’s hottest stories. Welcome to E! News – a fashionable, fun walk down the famous ‘red carpet.”

",1,,,,Terminal 8,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,(310) 338-2114,2018-02-02 07:15:12.703000000,,,33.942422,-118.397324,800 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1949,17,Aeroflot,Located in Tom Bradley International Terminal (TBIT).,,,,www.aeroflot.ru,SU,TBIT,Departure Level,AIR CARRIER,,,,LAX,(310) 417-1190,2018-08-16 07:08:34.013000000,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1849,1285,MARKET 8600,,"Shop for a range of snacks, Los Angeles souvenirs, and more at Market 8600.
",1,,,,Terminal 6,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,424-227-7941,2018-02-05 13:41:10.370000000,,,33.94139594,-118.40194406,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
499,329,Korean Airlines,Located in Tom Bradley International Terminal (TBIT)., ,,,www.koreanair.com,KE,TBIT,,AIR CARRIER,,,,LAX,(800) 438-5000,,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1851,1287,Be Relax,,Unwind with several relaxation and beauty services at Be Relax.,1,,,,Terminal 1,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-342-0100,2018-02-05 06:39:28.610000000,,,33.94664487874867,-118.40128331779101,100 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1646,1082,Magic Johnson Sports,,"There’s retail magic inside this exciting sports store in Terminal 5, the first ever dedicated to LA hero Earvin “Magic” Johnson. The Lakers purple-and-yellow décor sends the message: you’re in LA!",1,,,,Terminal 5,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-981-8322,2018-02-02 07:06:50.997000000,,,33.941559,-118.404605,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1697,1133,Relay ,,Relay is a one-stop shop for items in demand by busy travelers.,1,,,,TBIT,Great Hall,GIFT SHOPS AND NEWS STANDS,,,,LAX,(310) 665-9839,2018-02-02 11:37:17.467000000,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1831,1267,Starbucks Evenings,,"Starbucks is an internationally known coffee shop offering drinks, snacks, and to-go items.",1,,,,Terminal 6,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-307-7525,2018-02-05 08:18:07.700000000,,,33.94214715,-118.40208905,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1711,1147,Chaya Sushi,,"Chaya is a favorite with travelers who want to enjoy fresh sushi, rice balls and other Asian dishes.",1,,,,TBIT,Great Hall,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-307-7530,2018-02-02 10:56:55.923000000,,,33.94364673,-118.41058724,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1826,1262,See's Candies,,"See's Candies offers chocolate, peanut brittle, truffles, nuts and so much more to tempt a sweet tooth.",1,,,,Terminal 6,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,714-926-3416,2018-02-05 09:06:09.110000000,,,33.94214976,-118.40217537,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1642,1078,Sunglass Hut,,Sunglass Hut is the go-to place to shop for sunglasses.,1,,,,Terminal 4,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-649-5579,2018-02-05 09:09:25.027000000,,,33.940711,-118.406857,400 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1962,1396,L.A. Original,,"Support local creativity
Reflecting the creative culture and collaborative spirit of Los Angeles.
Our LA original collection is born of diverse artist and makers from across our city.
Proceeds support the Downtown Women's Center's MADE by DWC program.",1,,,,Terminal 1,,GIFT SHOPS AND NEWS STANDS,,,,LAX,424-200-0148,2019-01-03 12:24:13.670000000,2019-01-30 14:10:01.380000000,,,,,,,2019-04-11T00:00:02.000
1627,1063,ICE Currency Exchange Kiosk,,,0,,,,Terminal 6,Departure Level,"BUSINESS SERVICES, CURRENCY EXCHANGE",,,,LAX,(310) 642-1899,2017-08-09 15:30:11.330000000,,,33.94116996,-118.40204648,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1719,1155,Border Grill,,"Border Grill is known as a great place to eat, have a beer, margarita or cocktails at the bar while watching TV.",1,,,,TBIT,Great Hall - Food Court,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-307-7529,2018-02-02 10:56:06.260000000,,,33.94359989,-118.41042488,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
739,499,Southwest Airlines,"Located at LAX and Ontario airports.

LAX - Terminal 1 (T-1)
Ontario - Terminal 4 (T-4)", International passengers check in at Terminal 1; will be bused to Terminal B where international flights depart/arrive.,0,,www.southwest.com,WN,Terminal 1,,AIR CARRIER,,,,LAX,(310) 665-5680,2017-07-03 08:19:05.150000000,,,,,100 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
829,550,U. S. Customs Service,, ,,,,,TBIT,Arrival Level - Tom Bradley International Terminal,GOVERNMENT AGENCIES,,,,LAX,(310) 568-7545,,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1810,1246,The Coffee Bean & Tea Leaf,,"The Coffee Bean & Tea Leaf has an assortment of specialty coffee and blended coffee drinks, as well as tea and baked goods.",0,,,,Terminal 5,Arrival Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-321-8950,2018-02-05 06:45:46.080000000,2017-08-09 13:47:18.377000000,,33.942569137209006,-118.40457529833009,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1797,1233,The Coffee Bean & Tea Leaf,,"The Coffee Bean & Tea Leaf has an assortment of specialty coffee and blended coffee drinks, as well as tea and baked goods.",0,,,,TBIT,Arrival Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,786-810-9354,2018-02-05 06:46:11.627000000,2017-08-09 13:48:44.227000000,,33.94373286,-118.40862114,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1318,830,United Express Airlines,All United Express passengers with Paper Tickets and Non Ticketed passengers check in at Terminal 8.,,0,,www.united.com,,Terminal 8,,AIR CARRIER,,,,LAX,(800) 241-6522,2017-08-29 08:13:19.310000000,2017-08-29 08:13:10.273000000,,,,800 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1855,1291,Rock & Brews Concert Bar and Grill,,Rock & Brews serves up a variety of bar bites.,1,,,,Terminal 1,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,424-702-4596,2018-02-05 06:38:01.303000000,,,33.94667222292691,-118.40128691007783,100 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
